person_id,team_name,position,birthdate,join_date,retire_date
249,Ottawa Victorias,,1984-06-05,2020-09-10,
250,,director,1957-06-15,2020-09-12,
251,Stone Mariners,,2010-10-03,2020-09-13,2021-10-17
252,Ice Huskies,,2002-11-12,2020-09-14,
253,,coach,1996-03-10,2020-09-17,
254,Montreal Lasers,,2005-12-04,2020-09-21,
255,,manager,1962-09-17,2020-09-25,
256,Calgary Cubs,,1979-09-01,2020-09-26,
257,Calgary Cougars,,1980-02-11,2020-09-26,2021-05-27
258,Ice Cougars,,1989-07-11,2020-09-27,2022-02-01
259,Vancouver Fury,,1984-10-19,2020-09-27,
260,Toronto Penguins,,1985-10-23,2020-10-02,
261,,cleaner,1971-08-17,2020-10-03,
262,,coach,1970-01-10,2020-10-04,
263,Montreal Vipers,,2004-09-24,2020-10-05,
264,Broom Hawks,,2009-04-18,2020-10-06,
265,Vancouver Buccaneers,,2006-05-24,2020-10-08,
266,,accountant,1976-03-15,2020-10-11,
267,Toronto Eagles,,1990-07-15,2020-10-15,
268,,manager,1968-12-18,2020-10-19,
269,Stone Mariners,,2009-12-17,2020-10-23,2021-08-27
270,,coach,1990-05-20,2020-10-25,
271,,medic,1958-10-29,2020-10-26,
272,Calgary Cubs,,1974-06-14,2020-10-29,2021-04-22
273,Vancouver Islanders,,1998-03-19,2020-10-29,
274,,cleaner,1975-07-19,2020-11-01,
275,,accountant,1996-12-14,2020-11-02,
276,,manager,1993-04-23,2020-11-05,2021-06-19
277,Stone Mariners,,2006-09-16,2020-11-12,
278,Curlers Terriers,,2002-06-01,2020-11-14,
279,Cold Colts,,1978-06-12,2020-11-15,2021-08-02
280,Toronto Penguins,,1999-10-30,2020-11-21,
281,,manager,1984-05-16,2020-12-07,
282,,cleaner,1978-02-19,2020-12-07,
283,,cleaner,1968-06-24,2020-12-14,2021-04-22
284,Rolling Stones,,2010-03-21,2020-12-16,2022-02-08
285,Game of Stones,,1987-01-18,2020-12-17,
286,Ice Dodgers,,2003-04-01,2020-12-27,
287,Ottawa Victorias,,1976-07-10,2020-12-28,
288,Vancouver Islanders,,1974-05-08,2021-01-01,2021-01-31
289,,cleaner,1972-12-28,2021-01-01,2021-09-07
290,,manager,1981-11-14,2021-01-02,
291,Cold Islanders,,2010-10-09,2021-01-02,
292,,manager,1992-11-15,2021-01-03,
293,,manager,1978-07-01,2021-01-05,
294,Vancouver Fury,,1996-01-12,2021-01-06,
295,,manager,1962-08-27,2021-01-08,2022-03-18
296,Super Atlantics,,2002-02-24,2021-01-08,
297,,manager,1988-01-09,2021-01-10,2021-04-24
298,Ice Sabres,,1972-07-30,2021-01-13,2022-01-28
299,Ice Unicorns,,2008-05-08,2021-01-17,2021-10-12
300,,coach,1978-04-29,2021-01-22,
301,Montreal Raiders,,1995-06-22,2021-01-23,
302,Montreal Raiders,,1984-04-19,2021-01-24,2021-03-24
303,,manager,1975-11-15,2021-01-24,
304,Montreal Braves,,2011-07-03,2021-01-31,
305,Calgary Cubs,,1986-08-01,2021-02-04,2022-03-17
306,,accountant,1959-03-23,2021-02-09,
307,Baby Broomers,,2004-02-18,2021-02-09,2022-01-28
308,Calgary Rockets,,1972-12-30,2021-02-10,
309,,medic,1996-01-20,2021-02-20,
310,Curlers Terriers,,2004-11-27,2021-02-26,
311,Broom Hawks,,2012-07-22,2021-02-28,2022-05-21
312,Ottawa Victorias,,1982-11-03,2021-03-02,
313,Ottawa Victorias,,1987-07-05,2021-03-06,
314,Montreal Raiders,,1986-02-05,2021-03-06,2021-07-31
315,,accountant,1965-04-10,2021-03-08,2022-04-10
316,Game of Stones,,1999-09-26,2021-03-08,2021-09-04
317,Toronto Olympics,,2010-07-22,2021-03-10,
318,Cold Travelways,,1979-05-18,2021-03-19,
319,Calgary Rockets,,1986-05-29,2021-03-19,
320,,manager,1970-07-17,2021-03-21,
321,Ice Cougars,,1973-06-11,2021-03-21,
322,Vancouver Islanders,,1973-12-12,2021-03-25,
323,Calgary Rockets,,1982-02-10,2021-03-27,
324,Vancouver Buccaneers,,2008-11-27,2021-04-01,2021-04-24
325,Toronto Eagles,,1987-08-06,2021-04-01,2022-04-15
326,Ice Bulls,,1980-01-19,2021-04-01,
327,Toronto Eagles,,1981-11-27,2021-04-03,
328,Vancouver Fury,,1991-12-30,2021-04-08,2021-10-13
329,Super Salsa,,2012-08-23,2021-04-08,
330,,manager,1967-01-24,2021-04-14,2021-05-28
331,Vancouver Fury,,1975-07-18,2021-04-17,
332,Montreal Lasers,,2003-12-16,2021-04-22,
333,Broom Hawks,,2009-11-05,2021-04-25,
334,,psychologist,1985-09-02,2021-05-03,
335,Ice Dodgers,,2004-10-29,2021-05-03,
336,Cold Huskies,,1992-11-24,2021-05-05,
337,Ice Bulls,,1995-10-31,2021-05-09,
338,Toronto Rockets,,2009-08-18,2021-05-09,
339,,manager,1977-05-07,2021-05-12,
340,Cold Chinooks,,2003-12-20,2021-05-13,2021-09-03
341,,manager,1969-12-20,2021-05-15,
342,,cleaner,1980-06-01,2021-05-16,
343,Montreal Raiders,,1974-05-16,2021-05-18,
344,Ice Unicorns,,2006-01-18,2021-05-21,
345,Calgary Bruins,,1972-08-06,2021-05-24,
346,,medic,1995-05-20,2021-05-26,
347,Calgary Cougars,,1989-08-01,2021-05-29,
348,Cold Huskies,,1976-05-03,2021-05-29,
349,Vancouver Islanders,,1997-06-10,2021-05-31,2022-03-30
350,,cleaner,2001-11-28,2021-06-03,2021-06-19
351,Vancouver Buccaneers,,2014-04-04,2021-06-04,2022-02-20
352,Ottawa Greys,,2008-08-07,2021-06-04,
353,Cold Chinooks,,2011-03-10,2021-06-05,
354,,cleaner,1996-12-20,2021-06-08,2021-10-19
355,,psychologist,1977-06-10,2021-06-09,
356,Calgary Cubs,,1991-05-19,2021-06-14,2021-12-02
357,Vancouver Fury,,1991-07-09,2021-06-17,2021-07-24
358,Calgary Rockets,,1995-02-15,2021-06-18,
359,Toronto Eagles,,1984-08-28,2021-06-21,2021-08-11
360,,cleaner,1973-09-22,2021-06-21,2021-08-25
361,Toronto Rockets,,2006-12-29,2021-06-27,2021-09-24
362,,medic,1977-09-04,2021-07-01,
363,Vancouver Fury,,1988-08-15,2021-07-01,
364,Vancouver Islanders,,1977-01-28,2021-07-04,2022-03-16
365,Ottawa Greys,,2004-08-15,2021-07-05,
366,,cleaner,1982-03-14,2021-07-06,2022-05-30
367,Ice Huskies,,2013-02-27,2021-07-08,
368,,cleaner,1990-11-01,2021-07-09,
369,,manager,1988-04-02,2021-07-10,
370,Broom Mets,,2012-09-28,2021-07-14,
371,Toronto Eagles,,1994-08-20,2021-07-18,
372,Baby Broomers,,2002-09-28,2021-07-18,
373,,manager,1995-06-26,2021-07-19,
374,Vancouver Buccaneers,,2014-05-11,2021-07-21,2021-08-25
375,,director,1970-01-10,2021-07-24,
376,Ice Unicorns,,2014-04-14,2021-07-27,
377,,coach,1976-07-28,2021-07-27,
378,,manager,1994-01-14,2021-08-04,
379,Cold Islanders,,2009-07-22,2021-08-06,
380,Super Atlantics,,2007-04-29,2021-08-06,
381,Super Lords,,2008-01-28,2021-08-07,
382,Calgary Rockets,,1985-09-22,2021-08-08,2022-03-17
383,,manager,1973-12-16,2021-08-11,
384,Calgary Bruins,,1974-11-18,2021-08-16,
385,,cleaner,1997-10-28,2021-08-17,
386,Super Salsa,,2013-06-14,2021-08-17,
387,Montreal Bruins,,1985-02-24,2021-08-18,
388,Toronto Rockets,,2007-02-07,2021-08-20,
389,Montreal Bruins,,1986-12-28,2021-08-20,2021-09-16
390,Vancouver Buccaneers,,2003-03-16,2021-08-25,2021-11-29
391,,coach,1983-03-30,2021-08-27,
392,Ottawa Greys,,2014-04-12,2021-08-29,
393,Vancouver Buccaneers,,2012-11-30,2021-09-01,
394,Toronto Penguins,,1995-09-02,2021-09-03,
395,Ottawa Kiltys,,2012-10-03,2021-09-06,
396,Calgary Metros,,2012-05-27,2021-09-06,2022-01-16
397,Broom Hawks,,2006-05-07,2021-09-12,
398,Vancouver Fury,,1993-05-22,2021-09-12,
399,Ice Huskies,,2014-05-07,2021-09-13,
400,Cold Chinooks,,2008-05-22,2021-09-15,
401,Ice Unicorns,,2009-07-22,2021-09-15,2021-11-06
402,Super Lords,,2009-01-29,2021-09-18,
403,Vancouver Islanders,,1998-01-18,2021-09-18,2021-12-05
404,,medic,1973-05-27,2021-09-20,
405,,cleaner,1998-12-16,2021-09-27,
406,,medic,1980-05-17,2021-10-04,
407,Vancouver Fury,,1980-08-25,2021-10-05,2022-04-09
408,,manager,1995-03-20,2021-10-05,2021-11-21
409,Ottawa Kiltys,,2001-10-08,2021-10-13,
410,Montreal Raiders,,1999-06-06,2021-10-17,2022-04-23
411,Cold Travelways,,1975-04-06,2021-10-18,2022-02-17
412,Calgary Fleur-de-Lys,,1986-08-07,2021-10-20,
413,,coach,2002-09-17,2021-10-23,2021-12-22
414,Montreal Lasers,,2014-07-05,2021-10-25,2022-05-07
415,Montreal Braves,,2006-04-05,2021-10-25,
416,,accountant,1980-11-11,2021-10-28,
417,,cleaner,1969-09-30,2021-10-29,
418,Ice Unicorns,,2003-11-12,2021-11-01,
419,Ice Bulls,,1974-12-11,2021-11-02,
420,Cold Travelways,,1987-03-07,2021-11-03,2022-01-05
421,Vancouver Buccaneers,,2014-10-16,2021-11-06,
422,Toronto Eagles,,1981-10-04,2021-11-07,
423,,manager,1982-08-26,2021-11-08,
424,Toronto Rockets,,2004-12-02,2021-11-08,
425,Montreal Bruins,,1994-12-24,2021-11-08,2022-02-28
426,Vancouver Islanders,,1991-01-19,2021-11-11,
427,Montreal Vipers,,2003-12-28,2021-11-15,
428,Toronto Olympics,,2013-05-05,2021-11-19,
429,,manager,1957-08-03,2021-11-19,
430,Calgary Cougars,,1978-01-15,2021-11-20,
431,,accountant,1971-02-07,2021-11-21,2021-12-02
432,,cleaner,2003-11-11,2021-11-22,
433,Toronto Olympics,,2012-11-28,2021-11-26,
434,Cold Islanders,,2013-08-01,2021-11-26,2021-11-29
435,Super Atlantics,,2011-01-13,2021-11-30,2022-03-08
436,Broom Hawks,,2005-04-15,2021-12-03,
437,Montreal Lasers,,2013-09-22,2021-12-03,
438,,medic,1977-06-04,2021-12-04,
439,Vancouver Buccaneers,,2014-09-05,2021-12-07,
440,Stone Mariners,,2009-08-18,2021-12-07,
441,,cleaner,1972-03-07,2021-12-07,
442,,cleaner,2001-01-16,2021-12-10,
443,Ice Bulls,,1978-08-04,2021-12-15,
444,,coach,1994-10-30,2021-12-16,2022-05-23
445,Montreal Braves,,2003-11-04,2021-12-17,2022-05-25
446,,cleaner,1969-01-23,2021-12-21,
447,Ice Cougars,,1989-01-23,2021-12-23,
448,,cleaner,1993-07-30,2021-12-24,
449,Rolling Stones,,2003-07-21,2021-12-24,
450,Montreal Vipers,,2014-12-02,2021-12-25,
451,Ice Dodgers,,2014-02-17,2021-12-26,
452,Montreal Vipers,,2002-05-31,2021-12-29,
453,Calgary Metros,,2013-11-25,2021-12-31,2022-03-28
454,Stone Timberwolves,,2013-02-28,2022-01-01,
455,,manager,1983-08-19,2022-01-01,
456,Calgary Metros,,2006-06-02,2022-01-04,
457,,coach,2001-02-26,2022-01-09,2022-02-05
458,Game of Stones,,1989-08-07,2022-01-10,2022-02-18
459,Calgary Cubs,,1993-01-03,2022-01-11,
460,Calgary Metros,,2005-05-19,2022-01-12,
461,Ottawa Victorias,,2000-01-30,2022-01-13,2022-03-12
462,,manager,1985-11-12,2022-01-15,
463,,manager,1989-01-05,2022-01-18,
464,,cleaner,1979-11-19,2022-01-23,
465,Calgary Rockets,,1995-08-29,2022-01-23,2022-03-13
466,,cleaner,1994-04-12,2022-01-24,
467,Super Salsa,,2009-05-08,2022-01-27,
468,Ice Sabres,,1998-04-03,2022-01-30,2022-03-15
469,,psychologist,1966-10-23,2022-02-01,
470,Baby Broomers,,2007-12-02,2022-02-09,
471,Broom Hawks,,2014-05-28,2022-02-10,
472,,manager,1961-04-05,2022-02-11,2022-02-13
473,Toronto Rockets,,2014-08-23,2022-02-12,
474,Ice Unicorns,,2009-06-10,2022-02-13,
475,,psychologist,1988-10-02,2022-02-13,2022-02-27
476,,psychologist,1957-08-04,2022-02-15,2022-04-05
477,Toronto Olympics,,2007-07-05,2022-02-15,
478,Stone Mariners,,2012-09-23,2022-02-17,2022-04-09
479,Cold Huskies,,1973-10-27,2022-02-21,
480,Toronto Rockets,,2003-12-19,2022-02-22,
481,,accountant,1969-11-09,2022-02-22,
482,Toronto Olympics,,2015-02-24,2022-02-24,
483,Calgary Bruins,,1981-12-03,2022-02-27,
484,Cold Travelways,,1984-05-23,2022-02-27,
485,Vancouver Buccaneers,,2014-07-08,2022-03-01,
486,Vancouver Buccaneers,,2015-02-22,2022-03-02,
487,Montreal Lasers,,2006-02-26,2022-03-03,
488,,cleaner,1970-09-14,2022-03-03,
489,Curlers Terriers,,2013-07-23,2022-03-03,
490,,cleaner,2003-11-02,2022-03-04,
491,Montreal Vipers,,2001-11-23,2022-03-07,
492,Montreal Vipers,,2007-04-05,2022-03-11,
493,Ottawa Victorias,,1986-01-17,2022-03-15,
494,,coach,1982-08-14,2022-03-15,
495,Stone Timberwolves,,2006-08-15,2022-03-15,
496,,coach,1986-02-20,2022-03-15,
497,,cleaner,2003-12-20,2022-03-20,
498,Cold Huskies,,1980-09-18,2022-03-21,
499,Cold Huskies,,1993-05-31,2022-03-26,
500,Toronto Penguins,,1983-04-29,2022-03-29,
501,,cleaner,2003-04-04,2022-03-31,2022-05-24
502,Cold Travelways,,1989-07-27,2022-04-02,
503,Cold Colts,,1991-08-07,2022-04-03,2022-05-30
504,,coach,1993-04-27,2022-04-03,
505,Baby Broomers,,2014-08-17,2022-04-07,
506,Vancouver Islanders,,1988-09-22,2022-04-07,
507,Broom Mets,,2015-01-08,2022-04-08,
508,Toronto Eagles,,1993-11-22,2022-04-11,2022-05-08
509,,cleaner,1968-01-28,2022-04-12,
510,Cold Colts,,1978-02-03,2022-04-15,
511,Ottawa Kiltys,,2006-01-13,2022-04-15,
512,Cold Chinooks,,2005-08-18,2022-04-16,
513,,manager,1980-11-17,2022-04-19,
514,Game of Stones,,1976-10-11,2022-04-20,
515,Ottawa Victorias,,1990-02-11,2022-04-24,2022-05-04
516,,coach,1971-05-28,2022-04-25,
517,,coach,1969-04-16,2022-04-27,
518,,manager,1972-09-08,2022-04-28,2022-05-28
519,Toronto Rockets,,2002-10-31,2022-04-29,2022-05-16
520,Montreal Braves,,2013-01-27,2022-05-01,
