birthdate,age,join_date,retire_date,position,facility_id
1981-11-14,40,2021-01-02,,manager,5.0
1988-04-02,34,2021-07-10,,manager,5.0
1995-11-02,26,2020-06-05,,manager,5.0
1983-07-13,38,2020-06-10,,manager,5.0
1992-05-19,30,2019-11-13,,manager,5.0
1993-04-21,29,2022-05-13,,manager,5.0
1995-06-26,26,2021-07-19,,manager,5.0
1995-07-03,26,2019-09-10,2020-03-25,manager,5.0
1964-07-09,57,2019-09-03,2020-02-24,manager,5.0
1996-01-20,26,2021-02-20,,medic,5.0
1977-09-04,44,2021-07-01,,medic,5.0
1967-02-04,55,2020-02-14,2021-05-29,medic,5.0
1966-10-23,55,2022-02-01,,psychologist,5.0
1989-02-01,33,2019-12-04,2022-05-11,psychologist,5.0
