address_id,city,street,street_number
296,Ottawa,Weedmark Road,6930
297,Ottawa,Marshfield Street,1937
298,Ottawa,Farmers Way,4383
299,Ottawa,Orford Crescent,8632
300,Ottawa,Marcay Street,4572
301,Ottawa,Edgewater Drive,6539
302,Ottawa,Lee Enfield Road,4918
303,Ottawa,High Street,2070
304,Ottawa,Sawchuk Terrace,8925
305,Ottawa,Farrow Street,3965
306,Ottawa,Mannering Court,6214
307,Vancouver,Pinnacle Court,159
308,Vancouver,Fairchild Road,2273
309,Vancouver,Cook Street,6007
310,Vancouver,Malkin Avenue,2540
311,Vancouver,West 59th Avenue,8364
312,Vancouver,East Kent Avenue South,5995
313,Vancouver,Kullahun Drive,3779
314,Vancouver,Aegean Crescent,9521
315,Vancouver,Crowe Street,1472
316,Vancouver,East 1st Offramp Avenue,9837
317,Vancouver,West 62nd Avenue,2750
318,Vancouver,Midlothian Avenue,4758
319,Vancouver,East 22nd Avenue,999
320,Vancouver,North Templeton Drive,5223
321,Vancouver,Vine Street,3084
322,Vancouver,Grandview Highway North,6482
323,Vancouver,Le Roi Street,1660
324,Vancouver,Beach Avenue,3729
325,Vancouver,Old Bridge Walk,7894
326,Vancouver,Crown Crescent,2010
327,Vancouver,Walden Street,5929
328,Vancouver,Waterford Drive,1163
329,Vancouver,Market Hill,1565
330,Vancouver,Mons Drive,8382
331,Vancouver,Teakwood Place,4217
332,Vancouver,East 47th Avenue,2976
333,Vancouver,Bridgeway,9326
334,Vancouver,Ward Street,1674
335,Vancouver,Bonnyvale Avenue,9144
336,Vancouver,Prince Edward Street,1910
337,Vancouver,Queens Avenue,7386
338,Vancouver,East 26th Avenue,110
339,Vancouver,Neal Street,5967
340,Vancouver,Bonaccord Drive,5747
341,Vancouver,Marpole Avenue,5615
342,Vancouver,Begg Street,9983
343,Vancouver,School Avenue,4751
344,Vancouver,Dunelm Avenue,6406
345,Vancouver,Lincoln Street,8404
346,Vancouver,Parkway Drive,9746
347,Vancouver,East 65th Avenue,8038
348,Vancouver,Thrush Place,1058
349,Vancouver,North Skeena Street,9762
350,Vancouver,Pacific Offramp Boulevard,4224
351,Vancouver,East 25th Avenue,6922
352,Vancouver,Clarendon Street,8170
353,Vancouver,Sasamat Place,7975
354,Vancouver,West 31st Avenue,2697
355,Vancouver,Terry Fox Way,6525
356,Vancouver,Talon Square,3334
357,Vancouver,Turnberry Crescent,2511
358,Vancouver,Mcmullen Avenue,3845
359,Vancouver,Marstrand Avenue,5662
360,Vancouver,Terra Vita Place,2429
361,Vancouver,Poplar Street,7980
362,Vancouver,Scantlings,2374
363,Vancouver,Ontario Place,1698
364,Vancouver,Lord Street,4005
365,Vancouver,Suzhou Alley,9334
366,Vancouver,Staulo Crescent,5894
367,Vancouver,Bidwell Street,3943
368,Vancouver,Alvin Narod Mews,5742
369,Vancouver,Tolmie Street,5430
370,Vancouver,Waterford Drive,8908
371,Vancouver,West 74th Avenue,6520
372,Vancouver,Little Street,4218
373,Vancouver,Doncaster Way,6877
374,Vancouver,Waterside Avenue,9763
375,Vancouver,Liard Place,7971
376,Vancouver,Milton Street,680
377,Vancouver,Lakewood Drive,1835
378,Vancouver,Sienum Place,9488
379,Vancouver,Granville Street,5764
380,Vancouver,East 40th Avenue,4037
381,Vancouver,Elizabeth Street,8891
382,Vancouver,Prior Street,3712
383,Vancouver,Dunlevy Avenue,5058
384,Vancouver,Lincoln Street,4492
385,Vancouver,West Boulevard,6603
386,Vancouver,Imperial Road,895
387,Vancouver,Fountain Way,3608
388,Vancouver,Mons Drive,9178
389,Vancouver,Liard Place,7732
390,Vancouver,Brunswick Street,4917
391,Vancouver,Rogers Street,3838
392,Vancouver,Moberly Road,2736
393,Vancouver,Mont Royal Square,7729
394,Vancouver,West 67th Avenue,8676
395,Vancouver,West 16th Avenue,4818
396,Vancouver,Miller Street,7560
397,Vancouver,Joyce Street,5290
398,Vancouver,Main Street,7176
399,Vancouver,Marpole Avenue,3527
400,Vancouver,Ghent Lane,1920
401,Vancouver,Kamloops Street,3546
402,Vancouver,Mchardy Street,2232
403,Vancouver,Beagle Court,2269
404,Vancouver,Appledale Place,8288
405,Vancouver,Waterleigh Drive,8399
406,Vancouver,Grant Street,8162
407,Vancouver,Commercial Street,670
408,Vancouver,Bach Avenue,1868
409,Vancouver,Nanton Avenue,9901
410,Vancouver,Raymur Avenue,5664
411,Vancouver,Huron Mews,1824
412,Vancouver,Vivaldi Place,101
413,Calgary,Royal Birch Boulevard North-west,326
414,Calgary,Berwick Crescent North-west,9107
415,Calgary,400 Chaparral Ravine View South-east,9663
416,Calgary,Kenosee Place South-west,2465
417,Calgary,Bowfort Road North-west,1555
418,Calgary,84 Street North-west,6742
419,Calgary,3000 New Brighton Gardens South-east,382
420,Calgary,29 Avenue South-east,6849
421,Calgary,Chaparral Grove South-east,5026
422,Calgary,Royal Birch Heights North-west,6575
423,Calgary,300 Royal Bay North-west,4685
424,Calgary,Douglas Ridge Circle South-east,4207
425,Calgary,100 Aspen Glen Place South-west,4150
426,Calgary,Tuscany Ravine Mews North-west,1542
427,Calgary,Mctavish Road North-east,9625
428,Calgary,Whiteview Road North-east,4802
429,Calgary,Lowell Court South-west,9042
430,Calgary,Sudbury Avenue South-west,1671
431,Calgary,Lake Fraser Court South-east,5632
432,Calgary,Midglen Road South-east,9964
433,Calgary,Edenstone Way North-west,8553
434,Calgary,Martingrove Way North-east,4085
435,Calgary,Chapalina Common South-east,9153
436,Calgary,Silverado Skies Bay South-west,1697
437,Calgary,Inverness Lane South-east,4432
438,Calgary,Mardale Crescent North-east,6772
439,Calgary,Hidden Hills Terrace North-west,4209
440,Calgary,Arbour Wood Close North-west,1809
441,Calgary,Auburn Bay View South-east,3422
442,Calgary,Falsbridge Drive North-east,3095
443,Calgary,Macewan Park Road North-west,9167
444,Calgary,Monterey Avenue North-west,7208
445,Calgary,Harvest Oak Rise North-east,7362
446,Calgary,Silver Ridge Way North-west,8989
447,Calgary,Somerside Common South-west,5567
448,Calgary,Rundlehorn Drive North-east,1656
449,Calgary,Mount Douglas Point South-east,8510
450,Calgary,Maplegrove Place South-east,6916
451,Calgary,45 Street North-west,1658
452,Calgary,Balsam Drive South-west,8526
453,Calgary,Mount Norquay Park South-east,6428
454,Calgary,Hyler Place South-west,9076
455,Calgary,Dalmarnock Crescent North-west,3254
456,Calgary,Midridge Place South-east,9508
457,Calgary,Valentine Crescent South-east,4479
458,Calgary,Royal Birch Park North-west,693
459,Calgary,Evansdale Court North-west,6437
460,Calgary,Coral Keys Villas North-east,7836
461,Calgary,200 Covington Bay North-east,6760
462,Calgary,Norseman Road North-west,882
463,Calgary,6 Street North-east,7643
464,Calgary,200 Catalina Place North-east,3808
465,Calgary,200 Valley Crest Court North-west,4004
466,Calgary,Summer Street South-west,6392
467,Calgary,101 Street North-west,7549
468,Calgary,Forest Grove South-east,3227
469,Calgary,Woodfield Way South-west,2751
470,Calgary,Citadel Gate North-west,7590
471,Calgary,300 Valley Woods Place North-west,4407
472,Calgary,Boulton Road North-west,8168
473,Calgary,38 Avenue North-east,4668
474,Calgary,Hunterhorn Terrace North-east,1522
475,Calgary,Lake Crimson Close South-east,8929
476,Calgary,Lonridge Drive South-west,8160
477,Calgary,Edgeridge Circle North-west,5333
478,Calgary,Woodfern Way South-west,5766
479,Calgary,Cedarbrae Drive South-west,2757
480,Calgary,Prestwick Mount South-east,9419
481,Calgary,Railway Street South-east,9837
482,Calgary,Hospital Drive North-west,7506
483,Calgary,Riverview Drive South-east,2941
484,Calgary,Kincora Boulevard North-west,6841
485,Calgary,Margate Close North-east,2215
486,Calgary,Monument Place South-east,6540
487,Calgary,300 Douglasbank Place South-east,8451
488,Calgary,200 Covington Place North-east,4999
489,Calgary,Templeside Bay North-east,8733
490,Calgary,17a Street North-west,7556
491,Calgary,100 Hidden Valley Place North-west,6764
492,Calgary,Maidstone Way North-east,3604
493,Calgary,Hillary Crescent South-west,2377
494,Calgary,Graham Drive South-west,6345
495,Calgary,New Brighton Landing South-east,8550
496,Calgary,Saddlecrest Crescent North-east,4482
497,Calgary,Cranfield Manor South-east,3233
498,Calgary,Austin Road South-east,2450
499,Calgary,Palisdale Road South-west,5008
500,Calgary,Shillington Crescent South-west,9055
501,Calgary,Suncastle Crescent South-east,5761
502,Calgary,Rundlefield Crescent North-east,9913
503,Calgary,500 Cantrell Place South-west,188
504,Calgary,Eversyde Circle South-west,2694
505,Calgary,Shawfield Drive South-west,1610
506,Calgary,Woodford Place South-west,9886
507,Calgary,81 Street North-west,7762
508,Calgary,Bermondsey Crescent North-west,5711
509,Calgary,Riverglen Way South-east,6786
510,Calgary,Deer Run Drive South-east,9286
511,Calgary,Rockyspring Rise North-west,7304
512,Calgary,Canfield Road South-west,6590
513,Calgary,100 Fonda Court South-east,2108
514,Calgary,Canberra Road North-west,6565
515,Calgary,200 Pinepoint Place North-east,2097
516,Calgary,100 Edcath Place North-west,9887
517,Calgary,Madeira Close North-east,1518
518,Calgary,200 Ranchview Court North-west,5637
519,Calgary,Castlebrook Way North-east,1448
520,Calgary,Lamont Court South-west,9763
521,Calgary,Mount Douglas Close South-east,4521
522,Calgary,Penworth Road South-east,3628
523,Calgary,Erlton Terrace South-west,4556
524,Calgary,Aviation Road North-east,7031
525,Calgary,200 Valley Springs Terrace North-west,1988
526,Montreal,Rue Aéterna,9132
527,Montreal,Rue Du Frere-andré,7024
528,Montreal,Rue Eugene-payette,8032
529,Montreal,Rue Baillairgé,3307
530,Montreal,Rue D'alembert,4473
531,Montreal,Rue Bagg,1681
532,Montreal,Rue Sainte-clotilde,4250
533,Montreal,Avenue Royal,4888
534,Montreal,7e Rue,1978
535,Montreal,Rue Saint-thomas,1591
536,Montreal,Rue Marcel-monette,1289
537,Montreal,Rue Du Séminaire,8787
538,Montreal,Rue De La Haye,4474
539,Montreal,Rue Gaston,9041
540,Montreal,Avenue Marcil,3857
541,Montreal,Place Durnford,9047
542,Montreal,Avenue Paquin,6892
543,Montreal,1e Avenue,4305
544,Montreal,132e Avenue,5641
545,Montreal,Avenue Desjardins,5053
546,Montreal,Avenue Bertin,5653
547,Montreal,Rue Leslie-gault,6069
548,Montreal,Avenue 80e,8157
549,Montreal,Avenue Guillaume-richard,2414
550,Montreal,Rue Desnoyers,154
551,Montreal,Rue Rimbaud,1136
552,Montreal,Rue Simonne,183
553,Montreal,Rue Elm,4333
554,Montreal,Rue Vivier,4157
555,Montreal,Rue D'allet,5931
556,Montreal,Rue White,3880
557,Montreal,Rue Dubois,1117
558,Montreal,Rue De Nazareth,517
559,Montreal,Rue Landreville,5472
560,Montreal,Avenue Durocher,1071
561,Montreal,Avenue Du Languedoc,8964
562,Montreal,Rue Dubuisson,1605
563,Montreal,Boulevard De Pierrefonds,9811
564,Montreal,Rue Wurtele,1904
565,Montreal,Rue Sackville,3324
566,Montreal,Avenue Pierre-dupuy,4797
567,Montreal,Rue Dumas,9152
568,Montreal,Rue Louis-lefebvre,6699
569,Montreal,Rue Pierre-ayot,3297
570,Montreal,Rue De L' Hospice-bourget,7046
571,Montreal,Avenue Jean-desprez,3903
572,Montreal,Avenue Hingston,1053
573,Montreal,Rue Élisabeth-bégon,3912
574,Montreal,Place De Chazel,9725
575,Montreal,Avenue Laurier Est,8410
576,Montreal,Boulevard Cavendish,9433
577,Montreal,Avenue Du Chardonnet,2495
578,Montreal,Terrasse Joly,2588
579,Montreal,Rue Philippe-turcot,4471
580,Montreal,Rue Rosario-fortin,1408
581,Montreal,Terrasse Saint-jean-baptiste,1767
582,Montreal,Avenue Georges,9799
583,Montreal,Avenue Vezeau,8816
584,Montreal,Rue Burelle,1986
585,Montreal,Rue Elgin,1756
586,Montreal,Rue Léo-grenier,9121
587,Montreal,Avenue 25e,8240
588,Montreal,Place Beaminster,7652
589,Montreal,Rue Allison,3460
590,Montreal,Avenue Léopold-houlé,2260
591,Montreal,Avenue Guillaume-couture,5351
592,Montreal,Rue Champlain,7096
593,Montreal,Avenue Champagneur,2401
594,Montreal,Rue Fendall,7913
595,Montreal,Rue Gosford,2445
596,Montreal,Rue Michel,1347
597,Montreal,Rue Hervé,4998
598,Montreal,Rue Sainte-croix,7971
599,Montreal,Rue De Domrémy,1379
600,Montreal,Avenue Du Mont-cassin,2860
601,Montreal,Place De La Savane,9922
602,Montreal,Rue Hillsdale,4020
603,Montreal,Avenue De Charette,7954
604,Montreal,Rue Levy,2795
605,Montreal,Avenue Shelley,7714
606,Montreal,Rue Gowdridge,6942
607,Montreal,Avenue Joseph-Édouard-samson,4891
608,Montreal,Avenue Du Beau-bois,3313
609,Montreal,Rue Ney,4453
610,Montreal,Rue Brabant-marineau,9095
611,Montreal,Rue Du Progres,450
612,Montreal,Avenue Harley,9627
613,Montreal,Rue Paulus,7010
614,Montreal,Jarry,1636
615,Montreal,Boulevard Desmarchais,3303
616,Montreal,Rue Becket,5782
617,Montreal,Avenue Beloeil,7713
618,Montreal,Rue Redpath Court,5096
619,Montreal,Rue Des Huards,1209
620,Montreal,Avenue Adolphe-rho,6695
621,Montreal,Terrasse Sagamo,7794
622,Montreal,Avenue Nelson,7144
623,Montreal,Chemin De La Tour,4428
624,Montreal,Avenue De La Bruere,5767
625,Montreal,Voie Camillien-houde,6012
626,Montreal,Rue Bohlé,5064
627,Montreal,Rue Sainte-famille,3005
628,Montreal,Boulevard Lalande,9772
629,Montreal,Avenue Gabrielle-roy,8721
630,Montreal,Rue Smith,3944
631,Montreal,Rue Sewell,2866
632,Montreal,Rue Belvedere Circle,1491
633,Montreal,Chemin Bonavista,1568
634,Montreal,Rue Eusebe-gagnon,4145
635,Montreal,Rue Wilderton Crescent,7422
636,Montreal,Rue Sackville,8682
637,Montreal,Rue Shaw,2593
638,Montreal,Avenue De Malicorne,4425
639,Montreal,Rue Le Gardeur,6381
640,Montreal,Avenue De La Brunante,5252
641,Montreal,Rue Melatti,8947
642,Montreal,Rue Joseph-piché,5497
643,Montreal,Rue Saint-columban,9117
644,Montreal,Rue Chestnut,8115
645,Montreal,Avenue De Verneuil,8315
646,Montreal,Rue Bourgoin,1817
647,Montreal,Rue Renoir,2323
648,Montreal,Rue Francine-mckenzie,9719
649,Montreal,Rue Achille-fortier,2400
650,Montreal,Rue De Nogent,6541
